Step,"field=3,degree=1",,,"field=3,degree=2",,,"field=3,degree=3",,,"field=3,degree=4",,,"field=3,degree=5",,,"field=3,degree=6",,
123,3.055357695,,,2.450987339,,,2.942784309,,,2.529729843,,,2.063202143,,,2.788431168,,
124,1.776657104,,,1.418997884,,,1.45044589,,,1.326353431,,,1.528121591,,,1.621834278,,
125,1.910236597,,,1.731510282,,,1.89398694,,,1.700539351,,,1.700026512,,,2.040554047,,
126,1.637795925,,,1.626329422,,,1.516748667,,,1.534415722,,,1.749032259,,,1.897152305,,
127,1.508483887,,,1.380294204,,,1.307014823,,,1.498749971,,,1.520906925,,,1.544277668,,
128,1.16058898,,,1.293704629,,,1.092094898,,,1.130076289,,,1.392557859,,,1.204003572,,
129,1.01277709,,,1.056889296,,,1.084677696,,,0.84778738,,,0.789330959,,,0.736634135,,
130,1.102689743,,,0.916216016,,,0.858715177,,,1.018293738,,,0.833755612,,,0.965785503,,
131,1.027155876,,,1.106522083,,,1.058237553,,,1.056951046,,,1.033783793,,,0.976500154,,
132,0.872145653,,,0.904615939,,,0.86236316,,,0.766765296,,,0.741016626,,,0.884022117,,
133,0.850502253,,,0.763241053,,,0.686494708,,,0.737447619,,,0.839687228,,,0.697363973,,
134,0.753113985,,,0.614033937,,,0.581272304,,,0.454692245,,,0.506525815,,,0.380548954,,
135,0.926666617,,,0.619375885,,,0.56499356,,,0.583640099,,,0.514266789,,,0.521151006,,
136,0.865913033,,,0.630833149,,,0.605853438,,,0.547730088,,,0.524043202,,,0.602609992,,
137,0.862628758,,,0.575811863,,,0.605203569,,,0.491446733,,,0.598812103,,,0.429629147,,
138,0.9067927,,,0.477054298,,,0.60408473,,,0.38337329,,,0.439797789,,,0.325306267,,
139,1.012446404,,,0.359917402,,,0.334343314,,,0.235316336,,,0.222948804,,,0,,
140,1.03728044,,,0.553032041,,,0.584652781,,,0.434969902,,,0.443186402,,,0.310865641,,
141,1.093137145,,,0.68951714,,,0.631333828,,,0.583476901,,,0.629805207,,,0.581069708,,
142,1.201333761,,,0.860721469,,,0.760562241,,,0.764796019,,,0.734399319,,,0.852423787,,
143,1.133557081,,,0.871772289,,,0.761203527,,,0.785495758,,,0.650182128,,,0.743784606,,
144,1.12877357,,,0.885631204,,,0.770493448,,,0.750170171,,,0.599782526,,,0.567727804,,
145,1.337870836,,,1.064808011,,,0.988966703,,,0.873344898,,,0.855769217,,,0.921883583,,
146,1.47200346,,,1.50778842,,,1.273619056,,,1.280063152,,,1.257588625,,,1.200556397,,
147,1.635769963,,,1.872415304,,,1.582381725,,,1.9538939,,,1.692623854,,,1.922834635,,
148,1.816250443,,,1.918088198,,,2.080167294,,,1.698184013,,,1.726436973,,,1.937400579,,
149,1.560351372,,,1.792894125,,,1.742431879,,,1.878499866,,,1.603297114,,,1.51331377,,
150,2.203660965,,,2.091666222,,,2.046701193,,,2.633545399,,,2.2008636,,,2.191986322,,
151,2.776708364,,,2.139695168,,,2.509700775,,,2.597639084,,,3.530987501,,,2.649972677,,
152,2.60860157,,,3.565503597,,,2.949934959,,,2.783542633,,,3.138952017,,,2.991300106,,
153,2.677916288,,,2.975015163,,,2.72243309,,,2.554773808,,,2.902224064,,,2.771698236,,
154,2.913612604,,,2.952734947,,,2.87878418,,,3.130378008,,,2.929481983,,,2.520518303,,
155,2.063798189,,,1.30913806,,,1.315742731,,,1.154550791,,,1.217846155,,,1.539736271,,
156,1.960541487,,,1.530151725,,,1.433410406,,,1.355391979,,,1.346923828,,,2.079517841,,
